53	2028	fail-0	|	0.00	1.00	1.00	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	7236	7236	7236	7236	7236	
54	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.01	0.01	0	|	-78.0	0.10(-78)	0.01(-78)	|	4487	4487	4487	4487	4487	
54	5000	ok	|	1.00	1.00	0.86	4.00	1.00	2	|	inac	1.00	4.00	2	|	-78.0	4.00(-78)	4.00(-78)	|	4487	4487	4487	4487	4487	
55	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.09	0.10	0	|	100.0	0.10(100)	0.10(100)	|	9067	9067	9067	9067	9067	
55	1097	fail-0	|	0.00	1.00	1.00	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	9067	9067	9067	9067	9067	
56	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.10	0.10	0	|	100.0	0.10(100)	0.10(100)	|	5394	5394	5394	5394	5394	
56	122	fail-0	|	0.00	1.00	1.00	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	5394	5394	5394	5394	5394	
57	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.03	0.03	0	|	9.0	0.10(9)	0.03(9)	|	2937	2937	2937	2937	2937	
57	5000	ok	|	1.00	1.00	0.97	3.59	0.60	1	|	inac	1.00	3.59	1	|	9.0	3.59(9)	3.59(9)	|	2937	2937	2937	2937	2937	
58	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.06	0.06	0	|	28.0	0.10(28)	0.06(28)	|	5334	5334	5334	5334	5334	
58	5000	ok	|	1.00	1.00	0.99	4.00	1.00	2	|	inac	1.00	4.00	2	|	28.0	4.00(28)	4.00(28)	|	5334	5334	5334	5334	5334	
59	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.09	0.10	0	|	71.0	0.10(71)	0.10(71)	|	9241	9241	9241	9241	9241	
59	584	fail-0	|	0.00	1.00	1.00	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	9241	9241	9241	9241	9241	
60	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.06	0.06	0	|	-32.0	0.10(-32)	0.06(-32)	|	7261	7261	7261	7261	7261	
60	3777	fail-0	|	0.00	1.00	0.99	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	7261	7261	7261	7261	7261	
61	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.01	0.01	0	|	51.0	0.10(51)	0.01(51)	|	426	426	426	426	426	
61	5000	ok	|	1.00	1.00	0.90	9.93	0.99	4	|	inac	1.00	9.93	4	|	51.0	9.93(51)	9.93(51)	|	426	426	426	426	426	
62	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.01	0.01	0	|	-72.0	0.10(-72)	0.01(-72)	|	3557	3557	3557	3557	3557	
62	5000	ok	|	1.00	1.00	0.84	4.02	0.67	2	|	inac	1.00	4.02	2	|	-72.0	4.02(-72)	4.02(-72)	|	3557	3557	3557	3557	3557	
63	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.08	0.09	0	|	24.0	0.10(24)	0.09(24)	|	8475	8475	8475	8475	8475	
63	1763	fail-0	|	0.00	1.00	1.00	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	8475	8475	8475	8475	8475	
64	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.01	0.01	0	|	-43.0	0.10(-43)	0.01(-43)	|	1012	1012	1012	1012	1012	
64	5000	ok	|	1.00	1.00	0.79	4.00	1.00	2	|	inac	1.00	4.00	2	|	-43.0	4.00(-43)	4.00(-43)	|	1012	1012	1012	1012	1012	
65	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.01	0.01	0	|	-68.0	0.10(-68)	0.01(-68)	|	4269	4269	4269	4269	4269	
